FirstName LastName MacAddr PhoneIPAddr SwitchIP Cluster Extn UserID Password Pin Server TenantID did
MT11-4003 Last 120001234003 10.32.4.62 10.32.6.85 MT 4003 user3@Scale-tenanat011.com Shoreadmin6# 13519 10.32.6.87 2000123 14082221031
MT10-4001 Last 120001224001 10.32.4.62 10.32.6.85 MT 4001 user1@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020001
MT10-4002 Last 120001224002 10.32.4.62 10.32.6.85 MT 4002 user2@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020002
MT10-4003 Last 120001224003 10.32.4.62 10.32.6.85 MT 4003 user3@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020003
MT10-4004 Last 120001224004 10.32.4.62 10.32.6.85 MT 4004 user4@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020004
MT10-4005 Last 120001224005 10.32.4.62 10.32.6.85 MT 4005 user5@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020005 
MT10-4006 Last 120001224006 10.32.4.62 10.32.6.85 MT 4006 user6@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020006 
MT10-4007 Last 120001224007 10.32.4.62 10.32.6.85 MT 4007 user7@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020007
MT10-4008 Last 120001224008 10.32.4.62 10.32.6.85 MT 4008 user8@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020008 
MT10-4009 Last 120001224009 10.32.4.62 10.32.6.85 MT 4009 user9@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 16692020009 
MT10-4010 Last 120001224010 10.32.4.62 10.32.6.85 MT 4010 user10@Scale-tenant10.com Shoreadmin8# 13518 10.32.6.87 2000122 166920200100
SIT-user1 Last 112233440001 10.32.4.62 50.207.107.51 SIT 1026 user9@Scale-tenant10.com Shoreadmin8# 15461 10.32.6.87 2000122 12034421026
SIT-user2 Last 112233440002 10.32.4.62 50.207.107.51 SIT 1027 user10@Scale-tenant10.com Shoreadmin8# 15461 10.32.6.87 2000122 12034421027
Test2335 Last 010280012335 10.32.4.62 66.11.214.234 N08 2335 tu397@n08l.com Abc123!! 19803 66.11.195.70 28001 16468135539
Test2336 Last 010280012336 10.32.4.62 66.11.214.234 N08 2336 tu398@n08l.com Abc123!! 19803 66.11.195.70 28001 16468135540
MT01-3401 Last 120001224001 10.32.4.62 10.32.6.85 MT 3401 user5001@Scale-tenant001.com Shoreadmin1# 13518 10.32.6.87 2000122 16692003441
